,종목명,종목코드
0,삼성전자,e=005930
1,SK하이닉스,e=000660
4,삼성전자우,e=005935
14,NAVER,e=035420
24,LG화학,e=051910
27,삼성SDI,e=006400
35,삼성전기,e=009150
42,LG전자,e=066570
53,SK텔레콤,e=017670
56,한미반도체,e=042700
76,현대오토에버,e=307950
146,DB하이텍,e=000990
156,제일기획,e=030000
170,대덕전자,e=353200
232,LG화학우,e=051915
322,해성디에스,e=195870
323,LG전자우,e=066575
334,LX세미콘,e=108320
348,케이씨텍,e=281820
366,이노션,e=214320
404,비에이치,e=090460
509,리노공업,e=058470
517,이오테크닉스,e=039030
522,에스티팜,e=237690
524,HPSP,e=403870
531,ISC,e=095340
532,솔브레인,e=357780
533,심텍,e=222800
535,동진쎄미켐,e=005290
539,유진테크,e=084370
540,테크윙,e=089030
546,파크시스템스,e=140860
558,주성엔지니어링,e=036930
579,에스앤에스텍,e=101490
591,피에스케이,e=319660
600,동국제약,e=086450
654,에프에스티,e=036810
736,솔트룩스,e=304100
784,에코마케팅,e=230360
